Local time in Ghorai,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
08.05.2016 05:45,18.6,702.5,757.6,,96,Wind blowing from the east,2,,,100%.,"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ",Thunderstorm(s) with or without precipitation.,Rain.,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.","90  or more, but not 100%",300-600,Altostratus opacus or Nimbostratus.,,6.0,18.0,,,,,,
07.05.2016 17:45,19.4,701.1,756.1,1.1,89,Wind blowing from the north,3,,,100%.,"Rain, not freezing, intermittent, slight at time of observation. ",Thunderstorm(s) with or without precipitation.,Rain.,,34.0,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",300-600,Altostratus opacus or Nimbostratus.,"No Cirrus, Cirrocumulus or Cirrostratus.",6.0,17.5,19,9,,,,
07.05.2016 14:45,24.2,700.0,755.1,-0.5,62,Wind blowing from the north,3,,,100%.,Slight rain at time of observation. Thunderstorm during the preceding hour but not at time of observation. ,Thunderstorm(s) with or without precipitation.,Drizzle.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",300-600,Altostratus translucidus.,"No Cirrus, Cirrocumulus or Cirrostratus.",6.0,16.4,,,,,,
07.05.2016 11:45,32.0,700.5,755.5,-0.2,38,Wind blowing from the east,2,,,20–30%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,15.9,,,,,,
07.05.2016 08:45,26.5,700.7,755.8,0.7,49,Wind blowing from the east,1,,,no clouds, ,,,20.0,,,,,,,6.0,15.0,No precipitation,24,,,,
07.05.2016 05:45,20.6,700.0,754.8,,74,"Calm, no wind",0,,,"10%  or less, but not 0", ,,,,,,,"2500 or more, or no clouds.",,,8.0,15.7,,,,,,
06.05.2016 17:45,31.6,698.8,753.7,-0.6,33,Wind blowing from the west,3,,,40%., ,,,,34.6,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,13.5,No precipitation,9,,,,
06.05.2016 14:45,33.0,699.4,754.6,,31,Wind blowing from the west,2,,,20–30%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,13.6,,,,,,
06.05.2016 11:45,30.6,,757.4,,46,Wind blowing from the north,2,,,40%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10.0,17.6,,,,,,
06.05.2016 08:45,24.2,702.4,758.2,1.9,68,Wind blowing from the west,1,,,50%., ,,,19.5,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,17.8,Trace of precipitation,24,,,,
06.05.2016 05:45,20.0,700.5,755.7,,80,"Calm, no wind",0,,,20–30%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,16.4,,,,,,
05.05.2016 17:45,29.2,700.0,755.2,-1.3,46,Wind blowing from the south-southeast,2,,,20–30%., ,,,,32.1,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10.0,16.4,Trace of precipitation,9,,,,
05.05.2016 14:45,29.2,701.3,756.7,-1.1,40,Wind blowing from the north,2,,,50%., ,,,,,Stratocumulus cumulogenitus.,40%.,300-600,Altostratus translucidus.,"No Cirrus, Cirrocumulus or Cirrostratus.",10.0,14.4,,,,,,
05.05.2016 11:45,28.8,702.4,758.8,-1.1,44,Wind blowing from the east-southeast,2,,,50%., ,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",40%.,300-600,Altostratus translucidus.,"No Cirrus, Cirrocumulus or Cirrostratus.",10.0,15.4,,,,,,
05.05.2016 08:45,22.0,703.5,759.9,2.7,76,Wind blowing from the west,1,,,60%., ,,,19.5,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,17.5,16,24,,,,
05.05.2016 05:45,20.0,700.8,756.2,,81,Wind blowing from the east,1,,,60%., ,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,16.7,,,,,,
04.05.2016 17:45,25.2,699.7,755.1,,67,"Calm, no wind",0,,,60%., ,,,,27.0,Stratocumulus cumulogenitus.,70 – 80%.,300-600,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,18.6,16,9,,,,
04.05.2016 14:45,23.2,699.9,755.3,,72,Wind blowing from the east-northeast,2,,,60%., ,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",50%.,300-600,Altostratus translucidus.,"No Cirrus, Cirrocumulus or Cirrostratus.",8.0,17.8,,,,,,
04.05.2016 08:45,26.0,701.3,756.6,1.9,62,Wind blowing from the north,4,,,100%., ,,,23.5,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",300-600,Altostratus translucidus.,,10.0,18.1,No precipitation,24,,,,
04.05.2016 05:45,25.0,699.4,754.2,,,Wind blowing from the east,1,,,60%., ,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,,,,,,,
03.05.2016 17:45,31.6,698.5,753.4,-0.4,42,Wind blowing from the south,2,,,70 – 80%., ,,,,34.8,,,"2500 or more, or no clouds.",,,10.0,17.0,No precipitation,9,,,,
03.05.2016 14:45,34.4,698.9,753.7,,37,Wind blowing from the south,2,,,no clouds, ,,,,,,,,,,10.0,17.9,,,,,,
03.05.2016 08:45,26.0,700.7,755.4,0.9,62,Wind blowing from the east,1,,,20–30%., ,,,22.5,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,18.1,No precipitation,24,,,,
03.05.2016 05:45,23.0,699.8,754.6,,74,Wind blowing from the south,1,,,20–30%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,18.2,,,,,,
02.05.2016 17:45,31.0,698.5,753.4,0.0,45,Wind blowing from the south-east,2,,,no clouds, ,,,,34.7,,,,,,10.0,17.6,No precipitation,9,,,,
02.05.2016 14:45,34.0,698.5,753.3,-0.8,36,Wind blowing from the south,2,,,50%., ,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",50%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,16.8,,,,,,
02.05.2016 11:45,32.8,699.3,754.0,-0.1,35,Wind blowing from the east-southeast,21,,,50%., ,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",50%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,15.4,,,,,,
02.05.2016 08:45,27.2,699.4,754.0,1.3,40,Wind blowing from the south,1,,,60%., ,,,21.5,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,12.4,No precipitation,24,,,,
02.05.2016 05:45,22.0,698.1,752.9,,49,Wind blowing from the east,1,,,20–30%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,10.8,,,,,,
01.05.2016 17:45,33.8,696.8,751.6,-0.3,21,Wind blowing from the west-southwest,2,,,50%., ,,,,36.8,,,"2500 or more, or no clouds.",,,8.0,8.6,No precipitation,9,,,,
01.05.2016 14:45,36.2,697.1,751.9,-1.0,17,Wind blowing from the west,1,,,50%., ,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,7.3,,,,,,
01.05.2016 11:45,33.6,698.1,752.8,-0.5,21,Wind blowing from the east,2,,,50%., ,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",50%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,8.6,,,,,,
01.05.2016 08:45,25.2,698.6,753.3,0.9,35,Wind blowing from the south,1,,,60%., ,,,20.0,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,8.5,No precipitation,24,,,,
01.05.2016 05:45,20.0,697.7,752.2,,42,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,8.0,6.5,,,,,,
30.04.2016 17:45,33.6,698.0,752.5,-0.2,14,Wind blowing from the west,2,,,"10%  or less, but not 0", ,,,,37.9,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,2.4,No precipitation,9,,,,
30.04.2016 14:45,37.2,698.2,752.8,-1.0,10,Wind blowing from the west,2,,,20–30%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,1.4,,,,,,
30.04.2016 11:45,37.2,699.2,753.7,-0.4,13,Wind blowing from the west,2,,,no clouds, ,,,,,,,,,,10.0,4.7,,,,,,
30.04.2016 08:45,30.4,699.6,754.0,0.9,27,Wind blowing from the east,1,,,no clouds, ,,,21.5,,,,,,,15.0,9.1,No precipitation,24,,,,
30.04.2016 05:45,22.2,698.7,753.5,,33,Wind blowing from the east,1,,,no clouds, ,,,,,,,,,,8.0,5.3,,,,,,
29.04.2016 17:45,34.6,698.5,753.3,0.0,12,Wind blowing from the west,3,,,no clouds, ,,,,38.0,,,,,,10.0,1.6,No precipitation,9,,,,
29.04.2016 14:45,37.4,698.5,753.3,-0.8,12,Wind blowing from the west-southwest,2,,,no clouds, ,,,,,,,,,,10.0,3.1,,,,,,
29.04.2016 11:45,36.2,699.3,754.1,0.2,16,Wind blowing from the south-east,2,,,no clouds, ,,,,,,,,,,15.0,6.7,,,,,,
29.04.2016 08:45,28.2,699.1,753.9,,26,"Calm, no wind",0,,,no clouds, ,,,18.5,,,,,,,15.0,6.8,No precipitation,24,,,,
28.04.2016 17:45,34.2,697.9,752.4,0.2,14,Wind blowing from the south-east,3,,,no clouds, ,,,,38.4,,,,,,10.0,2.8,No precipitation,9,,,,
28.04.2016 14:45,37.8,697.7,752.2,-1.1,10,Wind blowing from the west,2,,,no clouds, ,,,,,,,,,,10.0,1.1,,,,,,
28.04.2016 11:45,36.6,698.8,753.2,-0.1,15,Wind blowing from the south,2,,,no clouds, ,,,,,,,,,,10.0,5.7,,,,,,
28.04.2016 08:45,30.2,698.9,753.4,0.5,26,Wind blowing from the east,1,,,no clouds, ,,,21.4,,,,,,,15.0,8.6,No precipitation,24,,,,
28.04.2016 05:45,23.0,698.4,752.8,,27,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,6.0,3.0,,,,,,
27.04.2016 17:45,34.6,,752.8,,15,Wind blowing from the west,3,,,no clouds, ,,,,38.9,,,,,,10.0,4.0,No precipitation,9,,,,
27.04.2016 14:45,38.0,698.3,752.8,-1.3,10,Wind blowing from the west,2,,,no clouds, ,,,,,,,,,,10.0,1.1,,,,,,
27.04.2016 11:45,36.2,699.6,754.3,-0.5,18,Wind blowing from the west,2,,,"10%  or less, but not 0", ,,,,,,,"2500 or more, or no clouds.",,,10.0,8.0,,,,,,
27.04.2016 08:45,7.0,700.1,754.8,0.7,,Wind blowing from the south-southwest,1,,,"10%  or less, but not 0", ,,,20.5,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,,No precipitation,24,,,,
27.04.2016 05:45,21.0,699.4,754.2,,42,"Calm, no wind",0,,,"10%  or less, but not 0", ,,,,,,,"2500 or more, or no clouds.",,,6.0,7.4,,,,,,
26.04.2016 17:45,33.6,699.4,754.2,0.0,16,Wind blowing from the west,2,,,70 – 80%., ,,,,38.0,,,"2500 or more, or no clouds.",,,8.0,4.7,No precipitation,9,,,,
26.04.2016 14:45,37.0,699.4,754.3,-0.6,12,Wind blowing from the west-southwest,2,,,50%., ,,,,,Stratocumulus cumulogenitus.,40%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10.0,3.5,,,,,,
26.04.2016 11:45,0.0,700.0,754.9,,77,Wind blowing from the west,2,,,"10%  or less, but not 0", ,,,,,,,"2500 or more, or no clouds.",,,10.0,-3.6,,,,,,
25.04.2016 14:45,35.8,697.1,751.9,-0.7,13,Wind blowing from the west,2,,,no clouds, ,,,,,,,,,,10.0,3.4,,,,,,
25.04.2016 11:45,34.2,697.8,752.8,0.3,17,Wind blowing from the north-west,2,,,no clouds, ,,,,,,,,,,10.0,5.8,,,,,,
25.04.2016 08:45,26.4,697.5,752.5,1.0,35,Wind blowing from the south,1,,,20–30%., ,,,18.5,,,,"2500 or more, or no clouds.",,,15.0,9.5,No precipitation,24,,,,
25.04.2016 05:45,19.0,696.5,751.6,,40,"Calm, no wind",0,,,"10%  or less, but not 0", ,,,,,,,"2500 or more, or no clouds.",,,6.0,5.0,,,,,,
24.04.2016 17:45,31.4,694.6,749.7,-0.4,12,Wind blowing from the west,3,,,no clouds, ,,,,35.2,,,,,,10.0,-1.6,No precipitation,9,,,,
24.04.2016 14:45,34.0,695.0,750.1,-0.6,10,Wind blowing from the west,3,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,-1.6,,,,,,
24.04.2016 11:45,33.4,695.6,750.4,-0.5,13,Wind blowing from the south,2,,,no clouds, ,,,,,,,,,,10.0,1.1,,,,,,
24.04.2016 08:45,26.4,696.1,751.0,1.2,33,Wind blowing from the west,1,,,20–30%., ,,,18.8,,,,"2500 or more, or no clouds.",,,15.0,9.0,No precipitation,24,,,,
24.04.2016 05:45,19.2,694.9,749.4,,49,"Calm, no wind",0,,,"10%  or less, but not 0", ,,,,,,,100-200,,,2.0,8.3,,,,,,
23.04.2016 17:45,32.8,694.2,748.6,-0.2,16,Wind blowing from the west-southwest,3,,,no clouds, ,,,,37.7,,,,,,10.0,3.9,Trace of precipitation,9,,,,
23.04.2016 14:45,36.2,694.4,748.9,-1.1,15,Wind blowing from the south,2,,,20–30%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,5.3,,,,,,
23.04.2016 11:45,35.8,695.5,749.9,0.0,13,Wind blowing from the west,2,,,20–30%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,3.6,,,,,,
23.04.2016 08:45,30.0,695.5,,0.8,33,Wind blowing from the south,1,,,no clouds, ,,,22.5,,,,,,,15.0,11.9,No precipitation,24,,,,
23.04.2016 05:45,25.2,694.7,749.4,,45,"Calm, no wind",0,,,50%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,"2500 or more, or no clouds.",Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",6.0,12.4,,,,,,
22.04.2016 17:45,34.2,694.5,749.2,-1.0,19,Wind blowing from the west-northwest,4,,,"10%  or less, but not 0", ,,,,37.8,,,"2500 or more, or no clouds.",,,10.0,7.1,No precipitation,9,,,,
22.04.2016 14:45,36.0,695.5,750.2,-1.2,13,Wind blowing from the west,3,,,50%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,3.4,,,,,,
22.04.2016 11:45,35.4,696.7,751.3,0.3,18,Wind blowing from the west,2,,,no clouds, ,,,,,,,,,,10.0,7.8,,,,,,
22.04.2016 08:45,28.0,696.4,751.0,0.9,34,Wind blowing from the west,1,,,20–30%., ,,,21.0,,,,"2500 or more, or no clouds.",,,15.0,10.8,No precipitation,24,,,,
22.04.2016 05:45,21.2,695.5,750.2,,43,"Calm, no wind",0,,,"10%  or less, but not 0", ,,,,,,,"2500 or more, or no clouds.",,,6.0,8.2,,,,,,
21.04.2016 17:45,33.6,695.8,750.4,-0.2,22,Wind blowing from the west,3,,,no clouds, ,,,,36.7,,,,,,10.0,9.2,No precipitation,9,,,,
21.04.2016 14:45,36.2,696.0,750.4,-0.7,22,Wind blowing from the west,3,,,no clouds, ,,,,,,,,,,10.0,11.4,,,,,,
21.04.2016 11:45,35.2,696.7,751.0,-0.4,24,Wind blowing from the south,2,,,no clouds, ,,,,,,,,,,10.0,11.6,,,,,,
21.04.2016 08:45,30.2,697.1,751.4,0.4,36,"Calm, no wind",0,,,no clouds, ,,,23.0,,,,,,,15.0,13.6,No precipitation,24,,,,
21.04.2016 05:45,22.8,696.7,751.0,,48,"Calm, no wind",0,,,"10%  or less, but not 0", ,,,,,,,"2500 or more, or no clouds.",,,6.0,11.2,,,,,,
20.04.2016 17:45,35.0,697.6,751.9,-0.3,20,Wind blowing from the west-southwest,3,,,50%., ,,,,39.2,Stratocumulus cumulogenitus.,40%.,300-600,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",10.0,8.7,No precipitation,9,,,,
20.04.2016 14:45,38.0,697.9,752.2,-1.2,14,Wind blowing from the west,3,,,20–30%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,6.6,,,,,,
20.04.2016 11:45,37.2,699.1,753.5,-0.6,26,Wind blowing from the west,3,,,20–30%., ,,,,,,,"2500 or more, or no clouds.",,,10.0,14.6,,,,,,
20.04.2016 08:45,30.0,699.7,754.1,1.1,39,Wind blowing from the west,1,,,20–30%., ,,,22.4,,,,"2500 or more, or no clouds.",,,15.0,14.6,No precipitation,24,,,,
20.04.2016 05:45,22.4,698.6,753.3,,59,"Calm, no wind",0,,,"10%  or less, but not 0", ,,,,,,,"2500 or more, or no clouds.",,,6.0,14.0,,,,,,
19.04.2016 17:45,33.4,698.2,752.8,-0.4,27,Wind blowing from the west,3,,,50%., ,,,,37.4,Stratocumulus cumulogenitus.,40%.,300-600,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,12.0,No precipitation,9,,,,
19.04.2016 14:45,34.8,698.6,753.3,-1.3,26,Wind blowing from the west,3,,,40%., ,,,,,Stratocumulus cumulogenitus.,40%.,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,12.5,,,,,,
19.04.2016 11:45,34.6,699.9,754.7,-0.4,26,Wind blowing from the west,2,,,20–30%., ,,,,,,,"2500 or more, or no clouds.",,,10.0,12.5,,,,,,
19.04.2016 08:45,28.0,700.3,755.1,1.1,38,"Calm, no wind",0,,,no clouds, ,,,21.4,,,,,,,15.0,12.2,No precipitation,24,,,,
19.04.2016 05:45,21.8,699.2,754.0,,50,"Calm, no wind",0,,,"10%  or less, but not 0", ,,,,,,,"2500 or more, or no clouds.",,,6.0,10.8,,,,,,
18.04.2016 17:45,32.0,698.2,753.1,-0.6,44,Wind blowing from the west-northwest,2,,,50%., ,,,,34.8,Stratocumulus cumulogenitus.,50%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,18.1,No precipitation,9,,,,
18.04.2016 14:45,33.8,698.8,753.6,-1.4,43,Wind blowing from the west,2,,,20–30%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,19.6,,,,,,
18.04.2016 11:45,31.2,700.2,755.0,-0.1,52,Wind blowing from the south,1,,,20–30%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,20.3,,,,,,
18.04.2016 08:45,26.0,700.3,755.2,1.1,74,Wind blowing from the south,1,,,"10%  or less, but not 0", ,,,21.5,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,20.9,No precipitation,24,,,,
18.04.2016 05:45,21.8,699.2,754.0,,85,"Calm, no wind",0,,,"10%  or less, but not 0", ,,,,,,,"2500 or more, or no clouds.",,,6.0,19.2,,,,,,
17.04.2016 17:45,32.0,697.9,752.7,0.2,47,Wind blowing from the east-southeast,2,,,40%., ,,,,35.2,,,"2500 or more, or no clouds.",,,10.0,19.3,No precipitation,9,,,,
17.04.2016 14:45,33.6,697.7,752.5,-0.7,46,Wind blowing from the west,2,,,40%., ,,,,,Stratocumulus cumulogenitus.,40%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,20.3,,,,,,
17.04.2016 11:45,30.8,698.4,753.1,-0.8,54,Wind blowing from the south,2,,,20–30%., ,,,,,Stratocumulus cumulogenitus.,20–30%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,20.4,,,,,,
17.04.2016 08:45,26.6,699.2,753.9,1.6,66,Wind blowing from the south,1,,,60%., ,,,22.5,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,19.6,No precipitation,24,,,,
17.04.2016 05:45,22.8,697.6,752.4,,54,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,6.0,13.0,,,,,,
16.04.2016 17:45,33.2,696.7,751.5,-0.6,27,Wind blowing from the west,4,,,no clouds, ,,,,36.0,,,,,,10.0,11.5,No precipitation,9,,,,
16.04.2016 14:45,35.4,697.3,752.1,-1.6,31,Wind blowing from the west,3,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,15.6,,,,,,
16.04.2016 11:45,33.4,698.9,753.6,-0.3,38,Wind blowing from the south-southeast,2,,,40%., ,,,,,,,"2500 or more, or no clouds.",,,10.0,17.4,,,,,,
16.04.2016 08:45,27.4,699.2,753.9,0.7,48,Wind blowing from the east-southeast,1,,,20–30%., ,,,21.0,,,,"2500 or more, or no clouds.",,,15.0,15.4,No precipitation,24,,,,
16.04.2016 05:45,21.6,698.5,753.3,,55,"Calm, no wind",0,,,"10%  or less, but not 0", ,,,,,,,"2500 or more, or no clouds.",,,6.0,12.1,,,,,,
15.04.2016 17:45,33.6,697.8,752.6,0.1,23,Wind blowing from the west,2,,,50%., ,,,,37.4,,,"2500 or more, or no clouds.",,,10.0,9.7,No precipitation,9,,,,
15.04.2016 14:45,36.8,697.7,752.5,,17,Wind blowing from the south,2,,,no clouds, ,,,,,,,,,,10.0,7.7,,,,,,
15.04.2016 08:45,25.0,699.4,754.5,1.2,42,Wind blowing from the south,1,,,"10%  or less, but not 0", ,,,19.0,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,11.2,No precipitation,24,,,,
15.04.2016 05:45,19.4,698.2,753.3,,55,"Calm, no wind",0,,,"10%  or less, but not 0", ,,,,,,,"2500 or more, or no clouds.",,,6.0,10.2,,,,,,
14.04.2016 17:45,32.2,696.8,751.9,-0.2,22,Wind blowing from the west,3,,,no clouds, ,,,,35.7,,,,,,10.0,8.1,No precipitation,9,,,,
14.04.2016 14:45,34.6,697.0,752.1,-0.9,18,Wind blowing from the south-southwest,1,,,no clouds, ,,,,,,,,,,10.0,6.8,,,,,,
14.04.2016 11:45,33.2,697.9,753.0,0.1,25,Wind blowing from the west-northwest,2,,,no clouds, ,,,,,,,,,,10.0,10.5,,,,,,
14.04.2016 08:45,25.8,697.8,752.8,-1.5,41,Wind blowing from the south,1,,,no clouds, ,,,19.2,,,,,,,15.0,11.7,No precipitation,24,,,,
14.04.2016 05:45,19.8,699.3,754.5,,48,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,6.0,8.5,,,,,,
13.04.2016 17:45,31.4,695.1,750.3,-0.4,21,Wind blowing from the west,3,,,no clouds, ,,,,34.2,,,,,,10.0,6.2,No precipitation,9,,,,
